id_rede_social,id_usuario,nome_rede,link_perfil,paginas_seguidas,interacoes_recentes,data_registro
1,1,Instagram,@joaosilva,,,
2,2,Twitter/X,@mariax,,,
3,3,TikTok,@carlosedu,,,
4,4,Facebook,@analima,,,
5,5,Instagram,@pedrohenrique,,,
6,6,Twitter/X,@juliana_a,,,
7,7,LinkedIn,@rafael_eng,,,
8,8,TikTok,@fernanda_g,,,
9,9,Instagram,@lucasdev,,,
10,10,YouTube,@amandas_,,,
11,11,Twitter/X,@diegofps,,,
12,12,Instagram,@carol_design,,,
13,13,Twitch,@thiagostr,,,
14,14,TikTok,@larissam,,,
15,15,Instagram,@rodrigo_esports,,,
16,16,Twitter/X,@isabelar,,,
17,17,Instagram,@viniciusc,,,
18,18,Facebook,@laura_j,,,
19,19,TikTok,@gabrielg,,,
22,22,LinkedIn,@felipe_dev,,,
23,23,TikTok,@sophiac,,,
24,24,Instagram,@luizgames,,,
25,25,Twitter/X,@beatriz_,,,
26,26,YouTube,@leonardovlogs,,,
27,27,Instagram,@helenaf,,,
28,28,TikTok,@arthurg,,,
29,29,Twitter/X,@claras_,,,
30,30,Instagram,@matheush,,,
31,31,Twitch,@yasmins,,,
32,32,Instagram,@igor_travel,,,
33,33,Twitter/X,@lucasribeiro,,,
34,34,TikTok,@lorena_m,,,
35,35,Instagram,@vitorg,,,
36,36,Facebook,@larissac,,,
37,37,Twitter/X,@eduardoa,,,
38,38,Instagram,@leticia_j,,,
39,39,TikTok,@davil,,,
40,40,LinkedIn,@carloseng,,,
41,41,Instagram,@gabriela_,,,
42,42,Twitter/X,@joaopedro,,,
43,43,TikTok,@marinap,,,
44,44,Instagram,@felipef,,,
45,45,YouTube,@rafaelmusic,,,
46,46,Twitter/X,@laram,,,
47,47,Instagram,@thalesr,,,
48,48,TikTok,@isadorac,,,
49,49,Twitter/X,@viniciusx,,,
50,50,Instagram,@helo_,,,
51,51,Twitter/X,@carlostech,,,
52,52,Instagram,@marcos_,,,
53,53,TikTok,@anaclara_,,,
54,54,Twitter/X,@julianag,,,
55,55,Instagram,@brunos,,,
56,56,Facebook,@lucasl,,,
57,57,Twitter/X,@leticiam,,,
58,58,Instagram,@gabriel_,,,
62,62,LinkedIn,@rafaels,,,
63,63,TikTok,@vitorh,,,
64,64,Instagram,@sofiar,,,
65,65,Twitter/X,@amandag,,,
66,66,Instagram,@leonardoc,,,
67,67,TikTok,@larissas,,,
68,68,Twitter/X,@felipej,,,
69,69,Instagram,@marianap,,,
70,70,YouTube,@gabrielv,,,
71,71,Twitter/X,@carlag,,,
72,72,Instagram,@thalesm,,,
73,73,TikTok,@larissaj,,,
74,74,Twitter/X,@viniciusp,,,
75,75,Instagram,@brunag,,,
76,76,Facebook,@luizf,,,
77,77,Twitter/X,@amandac,,,
78,78,Instagram,@gabrielg,,,
79,79,TikTok,@marianar,,,
80,80,Twitter/X,@pedrol,,,
81,81,Instagram,@larissam,,,
82,82,TikTok,@gabriel_,,,
83,83,Twitter/X,@carlosh,,,
84,84,Instagram,@amandav,,,
85,85,LinkedIn,@rafael_,,,
86,86,TikTok,@leticias,,,
87,87,Twitter/X,@joaol,,,
90,90,TikTok,@gabrielj,,,
91,91,Twitter/X,@amandas,,,
92,92,Instagram,@leonardom,,,
93,93,YouTube,@rafaela_,,,
94,94,TikTok,@viniciusv,,,
95,95,Twitter/X,@carlap,,,
96,96,Twitch,@lucastwitch,,,
97,97,LinkedIn,@anapaula,,,
98,98,Facebook,@marco_,,,
99,99,YouTube,@gabrielmusic,,,
100,100,Instagram,@larissaf,,,
